Empresas,Ativos,Column3
Riza Arctium Real Estate FII Closed Fund,RZAT11,
Fiagro Greenwich Fundo de Investimento nas Cadeias Produtivas Agroindustriais,GRWA11,
Sparta Fiagro Fundo de Investimento Cadeias Produtivas Agroindustriais,CRAA11,
ZAMP S.A.,ZAMP3,
HGI Capital,HGAG11,
BB FI Credito Fiagro Imobiliario,BBGO11,
Exes Araguaia,AGRX11,
Plural BRB Credito Agro,PLCA11,
Itau Asset Rural Fiagro,RURA11,
Suno Agro,SNAG11,
Galapagos Recebiveis do Agro,GCRA11,
Vectis Datagro,VCRA11,
Kinea Credito Agro,KNCA11,
NCH Capital Brasil,NCRA11,
Capitania Agro,CPTR11,
FG Agro,FGAA11,
Ecoagro,EGAF11,
Valora Investimentos,VGIA11,
LESTE FIAGRO,LSAG11,
CLOUDFLARE DRN,N2ET34,
META PLAT DRN,M1TA34,
Investo ETF Global Agribusiness,FOOD11,
Intercement,ICBR3,
Gol,GOLL3,
VIA S.A,VIIA3F,
Armac,ARML3,
Multi,MLAS3,
CBA,CBAV3,
3tentos,TTEN3,
BR Partners,BRBI11,
GetNinjas,NINJ3,
Athena Saúde,ATEA3,
Banco Modal,MODL3,
Vittia Fertilizantes,VITT3,
Kora Saúde,KRSA3,
Boa Safra,,
Caixa Seguridade,CXSE3,
Rio Alto Energias Renováveis,RIOS3,
Hospital Care Caledonia,HCAR3,
Grupos GPS,GGPS3,
Mater Dei,MATD3,
Allied Tecnologia,ALLD3,
Blau Farmacêutica,BLAU3,
Atma Participações,ATMP3,
Assaí,ASAI3,
Grupo JSL,JSLG3,
CSN Mineração,CMIN3,
Eletromídia,ELMD3,
Orizon,ORVR3,
OceanPact,OPCT3,
Westwing,WEST3,
Cruzeiro Do Sul Educacional,CSED3,
Bemobi,BMOB3,
Jalles Machado,JALL3,
Mobly,MBLY3,
Espaçolaser,ESPA3,
Vamos,VAMO3,
Intelbras SA,INTB3,
Hedge Investiments,CJCT11,
BM Brascam Lajes Corporativas,BMLC11,
Real Estate Capital,RECR11,
FII URCA RENCI,URPR11,
Devant Recebíveis Imobiliários,DEVA11,
Mérito Investimentos,MFAI11,
Neogrid,NGRD3,
Alphaville S.A.,AVLL3,
3R Petroleum,RRRP3,
Enjoei,ENJU3,
Méliuz,CASH3,
Track & Field,TFCO4,
Triple Play,CONX3,
Grupo Mateus,GMAT3,
Sequoia,SEQL3,
Compass,PASS3,
Boa Vista SCPC,BOAS3,
Melnick,MELK3,
Hidrovias do Brasil,HBSA3,
Simpar,SIMH3F,
Cury,CURY3,
Plano & Plano,PLPL3,
Petz,PETZ3,
Pague Menos,PGMN3,
Lavvi Incorporadora,LAVV3,
Quero-Quero,LJQQ3,
d1000,DMVF3,
Grupo Soma,SOMA3,
Riva 9,RIVA3,
Ambipar,AMBP3,
Allpark,ALPK3,
Mitre Realty,MTRE3,
Moura Dubeux,MDNE3,
UPS,UPSS34F,
Aeris,AERI3F,AERI3
Dotz,DOTZ3F,DOTZ3
Banco Modal,MODL4,MODL11
Bardella,BDLL4F,BDLL3F
