Empresas,Ativos,Column3,Column4,Column5
Privalia,PRVA3,,,
Walmart,WALM34F,WALM34,,
Starbucks,SBUB34F,,,
Procter Gamble,PGCO34F,,,
Pepsico Inc,PEPB34F,PEPB34,,
Colgate,COLG34F,COLG34,,
Coca-Cola,COCA34F,COCA34,,
Avon,AVON34F,AVON34,,
São Martinho,SMTO3F,SMTO3,,
MDiasBranco,MDIA3F,MDIA3,,
CAMIL,CAML3F,CAML3,,
Brasilagro,AGRO3F,AGRO3,,
Minerva,BEEF3F,BEEF3,BEEF11,
Vivara,VIVA3,,,
Carrefour,CRFB3F,CRFB3,,
Pão de Açúcar,PCAR3F,PCAR4F,PCAR4,PCAR3
Natura,NTCO3F,NTCO3,,
Marfrig,MRFG3F,MRFG3,,
JBS,JBSS3F,JBSS3,,
Proctor Gamble,PGCO34,,,
BRF,BRFS3,,,
