Empresas,Ativos,Column3,Column4,Column5,Column6,Column7
CSU Digital,CSUD3,,,,,
Banco Inter,INBR31,BIDI3,BIDI11,BIDI4,,
STONE CO,STOC31,,,,,
Nu Holdings,NUBR33,,,,,
Iguatemi S.A.,IGTI11,IGTI3,,,,
XP Inc,XPBR31,,,,,
TradersClub,TRAD3,,,,,
BRB Banco,BSLI4F,BSLI3F,BSLI4,BSLI3,,
Battistella,BTTL3F,BTTL3,,,,
Banpara,BPAR3F,BPAR3,,,,
Wells Fargo,WFCO34F,WFCO34,,,,
Visa,VISA34F,VISA34,,,,
Morgan Stanley,MSBR34F,MSBR34,,,,
Mastercard,MSCD34F,MSCD34,,,,
JPMorgan,JPMC34F,JPMC34,,,,
Honeywell,HONB34F,HONB34,,,,
GE,GEOO34F,GEOO34,,,,
Goldman Sachs,GSGI34F,GSGI34,,,,
Citigroup,CTGP34F,CTGP34,,,,
Bank America,BOAC34F,BOAC34,,,,
3M,MMMC34F,MMMC34,,,,
Sao Carlos,SCAR3F,SCAR3,,,,
LPS Brasil,LPSB3F,LPSB3,,,,
BMG,BMGB11,BMGB4,,,,
Gradiente,IGBR3F,IGBR3,,,,
General Shopping,GSHP3F,GSHP3,,,,
Porto Seguro,PSSA3F,PSSA3,,,,
CSU CardSyst,CARD3F,CARD3,,,,
Brasil Brokers,BBRK3F,BBRK3,,,,
BR Properties,BRPR3F,BRPR3,,,,
Banrisul,BRSR6F,BRSR5F,BRSR3F,BRSR6,BRSR5,BRSR3
Santander BR,SANB4F,SANB3F,SANB11F,SANB4,SANB3,SANB11
Multiplan,MULT3F,MULT3,,,,
Itaú Unibanco,ITUB3F,ITUB4,ITUB3,ITUB4F,,
Aliansce Sonae,ALSO3,,,,,
Banco Mercantil de Investimentos,BMIN3,,,,,
Mercantil do Brasil Financeira,MERC4,,,,,
Log,LOGG3,,,,,
Itaúsa,ITSA4F,ITSA4,ITSA3F,,,
IRB Brasil RE,IRBR3,,,,,
Padtec,PDTC3,,,,,
SYN Prop Tech,SYNE3,,,,,
Bradesco,BBDC4F,BBDC4,BBDC3,,,
brMalls,BRML3,,,,,
Alper,APER3F,APER3,,,,
BB Seguridade,BBSE3,,,,,
Banco Pan,BPAN4,,,,,
Banco do Brasil,BBAS3F,BBAS3,BBAS12,BBAS11,,
American Express,AXPB34,,,,,
