Empresas,Ativos,Column3,Column4,Column5,Column6,Column7
Terra Santa Agro SA,LAND3,,,,,
Dexxos Part,DEXP4,DEXP3,,,,
Celulose Irani,RANI3F,,,,,
Freeport,FCXO34F,FCXO34,,,,
Paranapanema,PMAM3F,PMAM3,,,,
Ferbasa,FESA4F,FESA3F,FESA4,FESA3,,
Eucatex,EUCA3F,EUCA4,EUCA3,,,
Suzano Papel,SUZB3F,SUZB3,,,,
Klabin S/A,KLBN4F,KLBN3F,KLBN11F,KLBN4,KLBN3,KLBN11
Vale,VALE5,,,,,
Unipar,UNIP6F,UNIP6,UNIP5F,UNIP5,UNIP3,
Suzano Holding,NEMO6,NEMO5,NEMO3,,,
MMX Mineração,MMXM3,MMXM11,,,,
Gerdau,GOAU4,,,,,
Dexco,DXCO3,,,,,
CSN,CSNA3F,CSNA3,,,,
Braskem,BRKM6,BRKM5F,BRKM5,BRKM3,,
Bradespar,BRAP4F,BRAP4,BRAP3F,BRAP3,,
Arcelor,ARMT34,,,,,
