Empresas,Ativos,Column3,Column4,Column5
Oncoclínicas,ONCO3,,,
Viveo,VVEO3,,,
Instituto Hermes Pardini SA,PARD3,,,
Biomm,BIOM3F,BIOM3,,
Baumer,BALM3F,BALM4F,BALM4,BALM3
Pfizer,PFIZ34F,PFIZ34,,
Merck,MRCK34F,MRCK34,,
Biotoscana,GBIO33F,GBIO33,,
Dimed,PNVL3F,PNVL3,,
Alliar,AALR3F,AALR3,,
OdontoPrev,ODPV3F,ODPV3,,
RD,RADL3F,RADL3,,
Qualicorp,QUAL3F,QUAL3,,
Ourofino S/A,OFSA3,,,
Johnson,JNJB34,,,
Hypera Pharma,HYPE3,,,
Fleury,FLRY3,,,
Bristolmyers,BMYB34,,,
Abbott Laboratories,ABTT34,,,
