Empresas,Ativos,Column3,Column4,Column5,Column6,Column7
Auren Energia,AURE3,,,,,
Omega Energia,MEGA3,,,,,
Celpe,CEPE6F,CEPE5F,CEPE3F,CEPE6,CEPE5,CEPE3
CEEE-D,CEED3F,CEED4F,CEED4,CEED3,,
Ceee-gt,EEEL4F,EEEL3F,EEEL4,EEEL3,,
Casan,CASN4F,CASN3F,CASN4,CASN3,,
CEG,CEGR3F,CEGR3,,,,
CEB,CEBR3F,CEBR6F,CEBR5F,CEBR6,CEBR5,CEBR3
Renova,RNEW11F,RNEW11F,RNEW4F,RNEW4,RNEW3,
Coelce,COCE6F,COCE5F,COCE3F,COCE6,COCE5,COCE3
Celesc,CLSC4F,CLSC3F,CLSC4,CLSC3,,
Alupar Investimento,ALUP4F,ALUP3F,ALUP11F,ALUP4,ALUP3,ALUP11
Sanepar,SAPR11F,SAPR4F,SAPR3F,SAPR4,SAPR3,SAPR11
CPFL Renovav,CPRE3F,CPRE3,,,,
Copel,CPLE5F,CPLE6F,CPLE6,CPLE5,CPLE3F,CPLE3
CPFL Energia,CPFE3F,CPFE3,,,,
Comgás,CGAS3F,CGAS5F,CGAS5,CGAS3,,
AES Brasil,AESB3F,AESB3,,,,
Neoenergia,NEOE3,,,,,
ISA CTEEP,TRPL4F,TRPL4,TRPL3F,TRPL3,,
Engie Brasil,EGIE3,,,,,
Taesa,TAEE4,TAEE3,TAEE11,,,
Sabesp,SBSP3F,SBSP3,,,,
Renaova,RNEW11,,,,,
Ger Paranapanema,GEPA4,GEPA3,,,,
CESP,CESP6,CESP5,CESP3F,CESP3,,
Cemig,CMIG4,CMIG3F,CMIG3,,,
Afluente T,AFLT3,,,,,
